"paramheader","param","est_sig","pval","confint"
"DV_WASH_HA.ON","TIGHTNESS","-0.03","0.21","[-0.08,  0.02]"
"Means","date","-0.01","0.08","[-0.01,  0.00]"
"Means","Dt","-0.02","0.44","[-0.08,  0.03]"
"Means","risk_perception_infect","0.05**","0.00","[ 0.02,  0.09]"
"Means","economic_risk_perception","-0.01","0.58","[-0.04,  0.02]"
"Means","clear_message","0.04*","0.03","[ 0.01,  0.08]"
"Means","trust_government","0.03","0.14","[-0.01,  0.08]"
"Means","punishing_deviation","0.03","0.18","[-0.01,  0.07]"
"Means","employment_status","0.03","0.54","[-0.06,  0.12]"
"Means","proximity_corona","-0.02","0.63","[-0.11,  0.07]"
"Means","wash_hands","0.80***","0.00","[ 0.54,  1.06]"
"Means","age","0.03","0.07","[-0.00,  0.07]"
"Means","gender","-0.01","0.82","[-0.13,  0.11]"
"Means","religious","-0.00","0.87","[-0.06,  0.05]"
"Means","politx","0.00","0.92","[-0.03,  0.03]"
"Means","polity","0.02","0.12","[-0.01,  0.05]"
"Means","education","0.00","0.83","[-0.04,  0.04]"
"Means","distancing_social_norm","0.08","0.08","[-0.01,  0.18]"
"Means","preference_tightness","0.01","0.42","[-0.02,  0.05]"
"Means","conspiracy1","0.04**","0.00","[ 0.02,  0.07]"
"Variances","date","0.00","0.97","[-0.00,  0.00]"
"Variances","Dt","0.07","0.15","[-0.03,  0.17]"
"Variances","risk_perception_infect","0.02","0.40","[-0.03,  0.07]"
"Variances","economic_risk_perception","0.00","0.97","[-0.06,  0.06]"
"Variances","clear_message","0.03","0.46","[-0.05,  0.11]"
"Variances","trust_government","0.00","0.99","[-0.17,  0.18]"
"Variances","punishing_deviation","0.04","0.23","[-0.03,  0.11]"
"Variances","employment_status","0.00","0.99","[-0.33,  0.34]"
"Variances","proximity_corona","0.01","0.95","[-0.21,  0.23]"
"Variances","wash_hands","0.19**","0.00","[ 0.07,  0.31]"
"Variances","age","0.00","0.98","[-0.08,  0.08]"
"Variances","gender","0.00","1.00","[-0.42,  0.42]"
"Variances","religious","0.00","0.97","[-0.25,  0.26]"
"Variances","politx","0.00","0.99","[-0.12,  0.12]"
"Variances","polity","0.00","0.95","[-0.07,  0.07]"
"Variances","education","0.00","0.98","[-0.11,  0.11]"
"Variances","distancing_social_norm","0.02","0.49","[-0.03,  0.07]"
"Variances","preference_tightness","0.00","0.96","[-0.06,  0.07]"
"Variances","conspiracy1","0.00","0.96","[-0.05,  0.05]"
