"paramheader","param","est_sig","pval","confint"
"DV_DAYS_LE.ON","TIGHTNESS","-0.04*","0.04","[-0.07, -0.00]"
"Means","date","0.00","0.34","[-0.00,  0.01]"
"Means","Dt","-0.01","0.51","[-0.04,  0.02]"
"Means","risk_perception_infect","0.03","0.11","[-0.01,  0.07]"
"Means","economic_risk_perception","-0.01","0.36","[-0.05,  0.02]"
"Means","distancing_social_norm","-0.06***","0.00","[-0.08, -0.04]"
"Means","clear_message","-0.01","0.34","[-0.04,  0.01]"
"Means","trust_government","0.01","0.27","[-0.01,  0.03]"
"Means","preference_tightness","-0.00","0.64","[-0.02,  0.01]"
"Means","punishing_deviation","0.01","0.41","[-0.01,  0.03]"
"Means","conspiracy1","0.01","0.40","[-0.01,  0.03]"
"Means","employment_status","0.13***","0.00","[ 0.08,  0.18]"
"Means","proximity_corona","-0.03","0.42","[-0.10,  0.04]"
"Means","days_left_house","0.79***","0.00","[ 0.76,  0.82]"
"Means","age","0.01","0.46","[-0.02,  0.04]"
"Means","gender","0.02","0.46","[-0.03,  0.07]"
"Means","religious","-0.04","0.18","[-0.11,  0.02]"
"Means","politx","0.02*","0.04","[ 0.00,  0.04]"
"Means","polity","0.02","0.06","[ 0.00,  0.04]"
"Means","education","-0.00","0.83","[-0.02,  0.02]"
"Variances","date","0.00","0.92","[ 0.00,  0.00]"
"Variances","Dt","0.00","0.71","[-0.00,  0.01]"
"Variances","risk_perception_infect","0.01","0.51","[-0.02,  0.04]"
"Variances","economic_risk_perception","0.01","0.31","[-0.01,  0.02]"
"Variances","distancing_social_norm","0.00","0.88","[-0.03,  0.03]"
"Variances","clear_message","0.00","0.94","[-0.04,  0.04]"
"Variances","trust_government","0.00","0.93","[-0.03,  0.03]"
"Variances","preference_tightness","0.00","0.93","[-0.03,  0.04]"
"Variances","punishing_deviation","0.02","0.48","[-0.03,  0.07]"
"Variances","conspiracy1","0.00","0.90","[-0.03,  0.03]"
"Variances","employment_status","0.05","0.26","[-0.04,  0.14]"
"Variances","proximity_corona","0.03","0.38","[-0.04,  0.11]"
"Variances","days_left_house","0.00","0.95","[-0.04,  0.05]"
"Variances","age","0.00","0.81","[-0.02,  0.02]"
"Variances","gender","0.01","0.81","[-0.05,  0.06]"
"Variances","religious","0.02","0.42","[-0.02,  0.06]"
"Variances","politx","0.00","0.86","[-0.01,  0.02]"
"Variances","polity","0.00","0.87","[-0.02,  0.02]"
"Variances","education","0.00","0.89","[-0.02,  0.03]"
