"paramheader","param","est_sig","pval","confint"
"DV_MANDATO.ON","TIGHTNESS","0.02","0.49","[-0.04,  0.08]"
"Means","date","-0.01*","0.03","[-0.02, -0.00]"
"Means","Dt","-0.05*","0.01","[-0.08, -0.01]"
"Means","risk_perception_infect","0.04","0.09","[-0.01,  0.09]"
"Means","economic_risk_perception","0.03","0.18","[-0.01,  0.07]"
"Means","clear_message","0.03","0.14","[-0.01,  0.07]"
"Means","trust_government","0.08**","0.01","[ 0.02,  0.14]"
"Means","punishing_deviation","0.01","0.47","[-0.02,  0.04]"
"Means","employment_status","-0.02","0.79","[-0.15,  0.12]"
"Means","proximity_corona","-0.09*","0.02","[-0.17, -0.02]"
"Means","mandatory_quarantine","0.64***","0.00","[ 0.51,  0.77]"
"Means","age","0.06*","0.01","[ 0.01,  0.10]"
"Means","gender","-0.06","0.24","[-0.16,  0.04]"
"Means","religious","0.04","0.42","[-0.06,  0.14]"
"Means","politx","0.01","0.68","[-0.05,  0.07]"
"Means","polity","0.06*","0.02","[ 0.01,  0.10]"
"Means","political_view","-0.01","0.72","[-0.07,  0.05]"
"Means","education","-0.03","0.10","[-0.06,  0.01]"
"Means","distancing_social_norm","0.16***","0.00","[ 0.08,  0.25]"
"Means","preference_tightness","0.09**","0.00","[ 0.03,  0.15]"
"Means","conspiracy1","0.03","0.29","[-0.03,  0.09]"
"Variances","date","0.00","0.76","[-0.00,  0.00]"
"Variances","Dt","0.01","0.71","[-0.06,  0.09]"
"Variances","risk_perception_infect","0.01","0.95","[-0.18,  0.19]"
"Variances","economic_risk_perception","0.06","0.33","[-0.06,  0.19]"
"Variances","clear_message","0.05","0.54","[-0.10,  0.19]"
"Variances","trust_government","0.00","0.96","[-0.11,  0.12]"
"Variances","punishing_deviation","0.02","0.63","[-0.08,  0.13]"
"Variances","employment_status","0.01","0.96","[-0.32,  0.34]"
"Variances","proximity_corona","0.02","0.88","[-0.28,  0.33]"
"Variances","mandatory_quarantine","0.18***","0.00","[ 0.12,  0.25]"
"Variances","age","0.00","0.99","[-0.30,  0.30]"
"Variances","gender","0.00","0.97","[-0.28,  0.29]"
"Variances","religious","0.00","0.98","[-0.41,  0.42]"
"Variances","politx","0.00","0.97","[-0.11,  0.12]"
"Variances","polity","0.00","0.98","[-0.14,  0.14]"
"Variances","political_view","0.01","0.93","[-0.13,  0.14]"
"Variances","education","0.00","0.97","[-0.11,  0.12]"
"Variances","distancing_social_norm","0.02","0.48","[-0.03,  0.07]"
"Variances","preference_tightness","0.00","0.98","[-0.14,  0.15]"
"Variances","conspiracy1","0.01","0.87","[-0.14,  0.16]"
