"paramheader","param","est_sig","pval","confint"
"DV_AVOID_C.ON","TIGHTNESS","0.02","0.52","[-0.04,  0.07]"
"Means","date","-0.01*","0.01","[-0.02, -0.00]"
"Means","Dt","-0.02","0.49","[-0.09,  0.04]"
"Means","risk_perception_infect","0.06**","0.00","[ 0.02,  0.10]"
"Means","economic_risk_perception","0.00","0.90","[-0.03,  0.03]"
"Means","clear_message","0.02","0.34","[-0.02,  0.05]"
"Means","trust_government","0.02","0.06","[-0.00,  0.05]"
"Means","punishing_deviation","-0.01","0.70","[-0.04,  0.03]"
"Means","employment_status","-0.03","0.38","[-0.09,  0.04]"
"Means","proximity_corona","-0.02","0.55","[-0.09,  0.05]"
"Means","avoid_crowd","0.59***","0.00","[ 0.42,  0.76]"
"Means","age","0.03*","0.04","[ 0.00,  0.07]"
"Means","gender","-0.05","0.18","[-0.12,  0.02]"
"Means","religious","-0.01","0.71","[-0.08,  0.06]"
"Means","politx","-0.00","0.80","[-0.04,  0.03]"
"Means","polity","0.05***","0.00","[ 0.03,  0.07]"
"Means","political_view","-0.02","0.35","[-0.06,  0.02]"
"Means","education","-0.02","0.27","[-0.05,  0.01]"
"Means","distancing_social_norm","0.15***","0.00","[ 0.08,  0.22]"
"Means","preference_tightness","0.04*","0.03","[ 0.00,  0.08]"
"Means","conspiracy1","0.02*","0.05","[ 0.00,  0.04]"
"Variances","date","0.00","0.16","[ 0.00,  0.00]"
"Variances","Dt","0.13*","0.03","[ 0.01,  0.25]"
"Variances","risk_perception_infect","0.05","0.23","[-0.03,  0.14]"
"Variances","economic_risk_perception","0.00","0.99","[-0.10,  0.10]"
"Variances","clear_message","0.00","0.92","[-0.05,  0.05]"
"Variances","trust_government","0.00","0.99","[-0.10,  0.10]"
"Variances","punishing_deviation","0.01","0.86","[-0.07,  0.08]"
"Variances","employment_status","0.02","0.82","[-0.18,  0.23]"
"Variances","proximity_corona","0.01","0.97","[-0.26,  0.27]"
"Variances","avoid_crowd","0.17**","0.00","[ 0.07,  0.27]"
"Variances","age","0.00","0.93","[-0.05,  0.06]"
"Variances","gender","0.00","0.97","[-0.14,  0.14]"
"Variances","religious","0.04","0.56","[-0.10,  0.18]"
"Variances","politx","0.00","0.97","[-0.05,  0.05]"
"Variances","polity","0.00","0.90","[-0.06,  0.07]"
"Variances","political_view","0.03","0.65","[-0.11,  0.17]"
"Variances","education","0.01","0.80","[-0.08,  0.10]"
"Variances","distancing_social_norm","0.04","0.05","[-0.00,  0.09]"
"Variances","preference_tightness","0.00","0.99","[-0.13,  0.13]"
"Variances","conspiracy1","0.00","0.97","[-0.05,  0.05]"
